xflr5 v6.50

Plane name :        HALE Drone
Polar name :        T1-7.3 m/s-LLT
Freestream speed :   7.320 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   15.000     0.000   1.559194   0.028831   0.057554   0.086385   0.000000  -0.000000  -0.487350   0.000000   0.000000    7.3200     0.1767
   15.500     0.000   1.545817   0.028442   0.064813   0.093255   0.000000  -0.000000  -0.481771   0.000000   0.000000    7.3200     0.1755
   16.000     0.000   1.527694   0.027514   0.072931   0.100445   0.000000  -0.000000  -0.475613  -0.000000   0.000000    7.3200     0.1746
   16.500     0.000   1.516361   0.027087   0.080500   0.107587   0.000000   0.000000  -0.471909  -0.000000  -0.000000    7.3200     0.1738
   17.000     0.000   1.506998   0.026843   0.087923   0.114766   0.000000  -0.000000  -0.468841  -0.000000  -0.000000    7.3200     0.1731
   17.500     0.000   1.497850   0.026650   0.095464   0.122114   0.000000   0.000000  -0.466062  -0.000000  -0.000000    7.3200     0.1726
   18.000     0.000   1.490066   0.026522   0.102781   0.129303   0.000000  -0.000000  -0.463791  -0.000000  -0.000000    7.3200     0.1720
   18.500     0.000   1.486560   0.026518   0.109514   0.136032   0.000000   0.000000  -0.462967  -0.000000  -0.000000    7.3200     0.1714
   19.000     0.000   1.485200   0.026605   0.116124   0.142729   0.000000   0.000000  -0.463355  -0.000000  -0.000000    7.3200     0.1711
   19.500     0.000   1.481828   0.026646   0.123096   0.149742   0.000000   0.000000  -0.463629  -0.000000  -0.000000    7.3200     0.1709
   20.000     0.000   1.478009   0.026667   0.130193   0.156860   0.000000   0.000000  -0.464319  -0.000000  -0.000000    7.3200     0.1709


